A-cr,B-cr,A-fl,B-fl,A-fg,B-fg,Annt,
1.0,0.6682405471801758,0.7199507397530222,0.6267627023997916,0.7120300014033006,0.862768879955835,A,
1.0,1.0,0.8745524226724943,0.4717407075285745,0.8738272902085461,0.8268733853183876,A,
0.22129786014556885,0.2537452280521393,0.390660927069744,0.4184294024765759,0.5881399605078461,0.8287393535099696,N,
0.6777515411376953,0.3243970274925232,0.8686768499576026,0.4340446169357766,0.9050278283799629,0.7413614665105449,N,
0.40272489190101624,0.3338228762149811,0.49029360659075893,0.7907593763369324,0.6538963894174741,0.8386489755801287,N,
0.17239944636821747,0.42594337463378906,-0.347356988959015,0.8958107822382841,1.0,0.5384619359033629,N,
0.6359113454818726,0.865959107875824,0.26421584291676964,0.7819874641511829,0.8884910759417352,0.8136574978525003,A,
0.953907310962677,0.36957547068595886,0.7700663128157076,0.9083357835644065,0.9373870404268531,0.7923557943899587,N,
0.2321833223104477,0.5253236889839172,0.6411458146476269,0.7611427501045902,0.8724875455666201,0.45431425274444415,B,
0.3209057152271271,1.0,0.007813299271231644,0.8086401140047694,0.9041381609164968,0.49222596711494554,B,
